,Date,hour,minute,second,Avg,Sound,Describe,Feel,Place,Sources,MedIllnes_density,Low_to_No_density,TotDis_density,TotChild_density,OlderAdult_density,LEP_density,POC2_density
158.38,9/13/2019 23:33,23,33,29,80.54,Quiet,Pleasant,Neutral,Outdoors,voices,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.39,9/13/2019 23:33,23,33,31,80.51,Loud,Noisy,Neutral,Outdoors,"voices,other",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.4,9/13/2019 23:34,23,34,3,79.19,Quiet,Neutral,Neutral,Outdoors,traffic,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.41,9/13/2019 23:34,23,34,15,80.02,Loud,Noisy,Neutral,Outdoors,"traffic,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.42,9/13/2019 23:34,23,34,26,80.19,Quiet,Neutral,Neutral,Outdoors,other,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.43,9/13/2019 23:34,23,34,47,80.26,Moderately Loud,Neutral,Neutral,Outdoors,voices,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.44,9/13/2019 23:34,23,34,52,80.29,Quiet,Noisy,Neutral,Outdoors,footsteps,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.45,9/13/2019 23:34,23,34,59,80.47,Moderately Loud,Neutral,Neutral,Outdoors,"traffic,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.46,9/13/2019 23:35,23,35,26,82.08,Moderately Loud,Neutral,Neutral,Outdoors,voices,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.47,9/13/2019 23:35,23,35,27,82.77,Moderately Loud,Pleasant,Relaxed,Outdoors,footsteps,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.48,9/13/2019 23:35,23,35,47,84.71,Loud,Noisy,Neutral,Outdoors,music,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.49,9/13/2019 23:35,23,35,49,84.22,Moderately Loud,Neutral,Neutral,Outdoors,music,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.5,9/13/2019 23:35,23,35,54,85.22,Moderately Loud,Neutral,Neutral,Outdoors,"voices,music,footsteps",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.51,9/13/2019 23:36,23,36,33,84.84,Loud,Noisy,Neutral,Outdoors,"music,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.52,9/13/2019 23:36,23,36,42,84.43,Moderately Loud,Neutral,Neutral,Outdoors,voices,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.53,9/13/2019 23:37,23,37,5,85.57,Moderately Loud,Pleasant,Neutral,Outdoors,trains,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.54,9/13/2019 23:37,23,37,35,85.62,Moderately Loud,Noisy,Irritated,Outdoors,trains,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.55,9/13/2019 23:37,23,37,45,87.87,Very Loud,Unbearable,Irritated,Outdoors,other,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.56,9/13/2019 23:38,23,38,2,85.37,Moderately Loud,Neutral,Neutral,Outdoors,voices,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.57,9/13/2019 23:38,23,38,17,85.17,Loud,Noisy,Neutral,Outdoors,"voices,other",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.58,9/13/2019 23:38,23,38,57,82.61,Loud,Noisy,Neutral,Outdoors,"restaurant,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.59,9/13/2019 23:39,23,39,0,83.73,Quiet,Noisy,Irritated,Outdoors,voices,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.6,9/13/2019 23:39,23,39,39,81.43,Moderately Loud,Noisy,Neutral,Outdoors,"restaurant,voices,traffic",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.61,9/14/2019 0:16,0,16,5,78.3,Loud,Pleasant,Neutral,Outdoors,"music,party,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.62,9/14/2019 0:17,0,17,18,84.84,Loud,Neutral,Neutral,Outdoors,"party,music,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.63,9/14/2019 0:18,0,18,32,79.84,Moderately Loud,Neutral,Neutral,Outdoors,"music,party,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.64,9/14/2019 0:19,0,19,29,82.56,Very Loud,Neutral,Neutral,Outdoors,"party,music,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.65,9/14/2019 0:20,0,20,17,84.82,Loud,Neutral,Neutral,Outdoors,"music,party,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.66,9/14/2019 0:21,0,21,40,84.21,Loud,Neutral,Neutral,Outdoors,"music,party,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.67,9/14/2019 0:22,0,22,20,84.79,Moderately Loud,Neutral,Neutral,Outdoors,"party,music,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.68,9/14/2019 0:24,0,24,13,83.46,Loud,Neutral,Neutral,Outdoors,"party,music,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.69,9/14/2019 0:24,0,24,50,83.83,Loud,Neutral,Neutral,Outdoors,"music,traffic,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.7,9/14/2019 0:24,0,24,53,82.79,Loud,Neutral,Neutral,Outdoors,"quiet,party,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.71,9/14/2019 0:26,0,26,10,78.02,Quiet,Neutral,Relaxed,Outdoors,quiet,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.72,9/14/2019 0:26,0,26,58,80.95,Moderately Loud,Neutral,Neutral,Outdoors,"neighbor,voices,traffic",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.73,9/14/2019 0:27,0,27,52,81.29,Moderately Loud,Neutral,Neutral,Outdoors,"party,music,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.74,9/14/2019 0:28,0,28,37,82.38,Quiet,Neutral,Neutral,Outdoors,voices,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.75,9/14/2019 0:29,0,29,17,83.2,Moderately Loud,Neutral,Neutral,Outdoors,"music,party,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.76,9/14/2019 0:30,0,30,49,80.28,Quiet,Neutral,Neutral,Outdoors,voices,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.77,9/14/2019 0:31,0,31,54,84.81,Loud,Neutral,Neutral,Outdoors,"party,music,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.78,9/14/2019 0:33,0,33,17,84.67,Moderately Loud,Neutral,Neutral,Outdoors,"party,music,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.79,9/14/2019 0:35,0,35,13,82.79,Moderately Loud,Neutral,Neutral,Outdoors,"party,music,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.8,9/14/2019 0:35,0,35,58,81.43,Very quiet,Pleasant,Relaxed,Outdoors,"quiet,hvac",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.81,9/14/2019 0:40,0,40,20,82.81,Moderately Loud,Neutral,Angry,Outdoors,"music,party,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.82,9/14/2019 0:41,0,41,12,83.33,Loud,Neutral,Neutral,Outdoors,voices,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.83,9/14/2019 1:47,1,47,26,79.73,Moderately Loud,Pleasant,Neutral,Outdoors,other,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.84,9/14/2019 1:48,1,48,3,81.96,Loud,Very pleasant,Neutral,Outdoors,other,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.85,9/14/2019 1:48,1,48,30,84.72,Very Loud,Very pleasant,Neutral,Outdoors,music,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.86,9/14/2019 1:48,1,48,55,78.03,Loud,Very pleasant,Neutral,Outdoors,music,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.87,9/14/2019 21:14,21,14,47,79.66,Loud,Noisy,Anxious,Indoors,"music,restaurant,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.88,9/14/2019 21:35,21,35,5,85.09,Loud,Noisy,Neutral,Indoors,"restaurant,music",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.89,9/14/2019 21:41,21,41,0,81.38,Moderately Loud,Neutral,Neutral,Outdoors,"car music,footsteps,music,traffic,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.9,9/14/2019 21:41,21,41,52,82.43,Moderately Loud,Neutral,Neutral,Outdoors,"voices,traffic",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.91,9/14/2019 21:42,21,42,46,80.79,Moderately Loud,Neutral,Neutral,Outdoors,"voices,traffic",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.92,9/14/2019 21:43,21,43,57,80.72,Moderately Loud,Neutral,Neutral,Outdoors,"music,restaurant,traffic,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.93,9/14/2019 21:44,21,44,58,80.41,Moderately Loud,Neutral,Neutral,Outdoors,voices,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.94,9/14/2019 21:46,21,46,25,79.73,Moderately Loud,Noisy,Neutral,Outdoors,"voices,traffic",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.95,9/14/2019 21:47,21,47,23,80.72,Moderately Loud,Neutral,Neutral,Outdoors,"voices,traffic",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.96,9/15/2019 0:26,0,26,8,70.31,Loud,Pleasant,Tranquil,Outdoors,other,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.97,9/15/2019 0:26,0,26,50,78.11,Loud,Neutral,Neutral,Outdoors,other,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.98,9/15/2019 0:29,0,29,9,80.17,Moderately Loud,Neutral,Neutral,Outdoors,"traffic,other",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.99,9/15/2019 0:29,0,29,36,78.61,Moderately Loud,Neutral,Neutral,Outdoors,other,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.1,9/15/2019 1:07,1,7,35,83.91,Moderately Loud,Neutral,Neutral,Outdoors,"car music,music,restaurant",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.101,9/15/2019 1:08,1,8,2,83.07,Moderately Loud,Neutral,Neutral,Outdoors,"car music,music,neighbor",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.102,9/15/2019 1:07,1,7,11,83.16,Moderately Loud,Neutral,Neutral,Outdoors,"car music,music",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.103,9/15/2019 1:08,1,8,22,82.37,Moderately Loud,Neutral,Neutral,Outdoors,music,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.104,9/15/2019 1:08,1,8,40,82.43,Moderately Loud,Neutral,Neutral,Outdoors,music,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.105,9/15/2019 1:09,1,9,10,81.84,Moderately Loud,Neutral,Neutral,Outdoors,music,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.106,9/15/2019 1:09,1,9,36,83.46,Moderately Loud,Neutral,Neutral,Outdoors,horn,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.107,9/15/2019 1:09,1,9,57,81.96,Moderately Loud,Noisy,Neutral,Outdoors,"traffic,music",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.108,9/15/2019 1:10,1,10,21,83.93,Moderately Loud,Neutral,Neutral,Outdoors,"footsteps,music",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.109,9/15/2019 1:10,1,10,47,83.27,Moderately Loud,Neutral,Neutral,Outdoors,"music,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.11,9/15/2019 1:11,1,11,26,83.2,Moderately Loud,Neutral,Neutral,Outdoors,"music,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.111,9/15/2019 1:11,1,11,47,79.54,Quiet,Neutral,Neutral,Outdoors,music,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.112,9/15/2019 1:12,1,12,10,84.92,Quiet,Neutral,Neutral,Outdoors,"music,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.113,9/15/2019 1:12,1,12,38,84.51,Moderately Loud,Neutral,Neutral,Outdoors,"footsteps,music,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.114,9/15/2019 1:13,1,13,7,85,Moderately Loud,Neutral,Neutral,Outdoors,"music,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.115,9/15/2019 1:13,1,13,41,83.81,Moderately Loud,Neutral,Neutral,Outdoors,music,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.116,9/15/2019 1:14,1,14,5,81.35,Moderately Loud,Neutral,Neutral,Outdoors,"music,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.117,9/15/2019 2:14,2,14,21,82.4,Loud,Pleasant,Neutral,Outdoors,car music,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.118,9/15/2019 2:14,2,14,52,85.23,Loud,Pleasant,Neutral,Outdoors,"car music,music",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.119,9/15/2019 2:15,2,15,33,86.03,Very Loud,Very pleasant,Neutral,Outdoors,"hvac,music",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.12,9/15/2019 2:16,2,16,8,85.87,Loud,Pleasant,Anxious,Outdoors,music,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.121,9/15/2019 2:16,2,16,38,85.76,Very Loud,Pleasant,Anxious,Outdoors,"music,party",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.122,9/15/2019 2:17,2,17,5,81.5,Loud,Noisy,Anxious,Outdoors,"party,music",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.123,9/15/2019 2:17,2,17,32,86.07,Loud,Very pleasant,Frustrated,Outdoors,"music,party",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.124,9/15/2019 2:18,2,18,12,85.58,Loud,Pleasant,Anxious,Outdoors,"music,party,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.125,9/15/2019 2:18,2,18,51,85.96,Loud,Noisy,Anxious,Outdoors,"music,party",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.126,9/15/2019 2:19,2,19,24,86.17,Loud,Pleasant,Anxious,Outdoors,music,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.127,9/15/2019 2:19,2,19,59,85,Very Loud,Pleasant,Anxious,Outdoors,"music,party",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.128,9/15/2019 2:20,2,20,23,85.38,Moderately Loud,Unbearable,Frustrated,Outdoors,music,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.129,9/15/2019 2:20,2,20,51,85.17,Moderately Loud,Pleasant,Neutral,Outdoors,music,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.13,9/15/2019 2:21,2,21,17,85.42,Loud,Pleasant,Anxious,Outdoors,music,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.131,9/15/2019 2:21,2,21,48,82.15,Loud,Noisy,Anxious,Outdoors,"car music,delivery,construction,party,music",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.132,9/15/2019 2:22,2,22,41,85.35,Loud,Very pleasant,Neutral,Outdoors,hvac,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.133,9/15/2019 2:40,2,40,21,82.08,Moderately Loud,Neutral,Neutral,Outdoors,"alarm,voices,traffic",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.134,9/15/2019 2:40,2,40,48,80,Moderately Loud,Neutral,Neutral,Outdoors,footsteps,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.135,9/15/2019 2:41,2,41,19,81.58,Moderately Loud,Neutral,Neutral,Outdoors,"alarm,footsteps,voices",23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.136,9/20/2019 11:57,11,57,18,41.37,Quiet,Neutral,Neutral,Indoors,traffic,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.137,10/3/2019 13:27,13,27,18,68.59,Moderately Loud,Noisy,Irritated,At work,pickup,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
158.138,10/22/2019 1:52,1,52,55,66.09,Moderately Loud,Noisy,Irritated,Indoors,footsteps,23.74600305,21.60063465,4.397469356,1.403212583,2.762229495,24.36286414,21.70007491
159,10/2/2019 3:36,3,36,31,60.97,Quiet,Neutral,Neutral,Indoors,traffic,7.288300919,3.299665393,2.861129218,4.049008759,2.520518597,5.820183989,9.200744405
160,6/15/2020 0:24,0,24,57,58.5,Moderately Loud,Noisy,Irritated,Outdoors,"music,neighbor,voices",8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
160.1,6/15/2020 0:32,0,32,26,56.59,Moderately Loud,Noisy,Irritated,Outdoors,"neighbor,voices,music",8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
160.2,6/15/2020 1:30,1,30,14,50.82,Moderately Loud,Noisy,Anxious,Outdoors,fireworks,8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
160.3,6/18/2020 1:22,1,22,32,45.97,Loud,Noisy,Anxious,Outdoors,"fireworks,traffic",8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
160.4,6/19/2020 0:21,0,21,25,59.74,Moderately Loud,Noisy,Anxious,Outdoors,traffic,8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
160.5,6/22/2020 0:27,0,27,9,50.77,Moderately Loud,Noisy,Anxious,Outdoors,"car music,fireworks,music,party,traffic",8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
160.6,6/22/2020 1:19,1,19,1,49.28,Moderately Loud,Noisy,Anxious,Outdoors,"fireworks,party",8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
160.7,6/22/2020 1:21,1,21,1,47.24,Moderately Loud,Noisy,Frustrated,Indoors,fireworks,8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
160.8,6/24/2020 23:28,23,28,44,50.68,Moderately Loud,Noisy,Irritated,Outdoors,traffic,8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
160.9,6/25/2020 21:22,21,22,32,54.92,Loud,Noisy,Irritated,Outdoors,"car music,fireworks,traffic",8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
160.1,6/27/2020 22:39,22,39,3,48.35,Loud,Noisy,Irritated,Indoors,"music,neighbor",8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
160.11,7/5/2020 1:55,1,55,57,22.5,Very Loud,Noisy,Irritated,Outdoors,fireworks,8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
160.12,7/26/2020 1:15,1,15,15,59.85,Loud,Noisy,Irritated,Outdoors,"music,neighbor",8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
160.13,7/29/2020 22:35,22,35,44,59.97,Loud,Noisy,Frustrated,Outdoors,music,8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
160.14,7/29/2020 22:38,22,38,13,58.58,Loud,Noisy,Irritated,Outdoors,music,8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
160.15,7/29/2020 22:42,22,42,21,57.97,Loud,Noisy,Irritated,Outdoors,music,8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
160.16,7/30/2020 1:11,1,11,15,56.75,Loud,Noisy,Irritated,Outdoors,music,8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
160.17,8/1/2020 23:33,23,33,16,61.64,Loud,Noisy,Irritated,Outdoors,music,8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
160.18,8/2/2020 23:09,23,9,21,64.91,Very Loud,Noisy,Irritated,Outdoors,music,8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
160.19,8/2/2020 23:12,23,12,43,53.98,Very Loud,Noisy,Irritated,Indoors,music,8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
160.2,8/3/2020 0:52,0,52,49,51.56,Very Loud,Noisy,Frustrated,Indoors,music,8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
160.21,9/7/2020 21:35,21,35,47,43.14,Very Loud,Noisy,Angry,Indoors,music,8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
160.22,9/7/2020 21:39,21,39,54,62.17,Very Loud,Noisy,Angry,Indoors,music,8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
160.23,9/7/2020 22:53,22,53,23,46.58,Very Loud,Unbearable,Angry,Indoors,music,8.760602799,5.985685495,2.975408712,5.927572043,2.545369172,8.531054666,19.06121206
161,9/17/2019 11:52,11,52,35,55.53,Moderately Loud,Neutral,Irritated,Outdoors,"airplane,footsteps,traffic",0.023939094,0,0,0,0,0,0.067988458
161.1,9/19/2019 11:47,11,47,47,58.77,Moderately Loud,Noisy,Irritated,Outdoors,"airplane,traffic",0.023939094,0,0,0,0,0,0.067988458
163,6/17/2020 1:49,1,49,30,69.88,Very Loud,Unbearable,Angry,Indoors,fireworks,19.14205116,34.91512577,12.05702185,18.4568541,5.427844076,40.34296985,54.20199225
164,6/16/2020 15:12,15,12,1,67.96,Moderately Loud,Neutral,Neutral,Outdoors,"neighbor,traffic,other",11.1179339,10.68139013,6.130189117,5.418096442,3.694625764,14.37601589,28.51466756
164.1,6/17/2020 1:04,1,4,46,71.05,Moderately Loud,Noisy,Irritated,Outdoors,"dog,fireworks,traffic,voices",11.1179339,10.68139013,6.130189117,5.418096442,3.694625764,14.37601589,28.51466756
164.2,6/17/2020 1:07,1,7,46,69.32,Moderately Loud,Noisy,Irritated,Outdoors,"car music,dog,fireworks,traffic",11.1179339,10.68139013,6.130189117,5.418096442,3.694625764,14.37601589,28.51466756
164.3,6/17/2020 1:14,1,14,18,69.62,Moderately Loud,Noisy,Irritated,Outdoors,"dog,fireworks,footsteps,traffic,voices",11.1179339,10.68139013,6.130189117,5.418096442,3.694625764,14.37601589,28.51466756
164.4,6/17/2020 1:40,1,40,13,73.24,Moderately Loud,Neutral,Neutral,Outdoors,"dog,fireworks,traffic,voices",11.1179339,10.68139013,6.130189117,5.418096442,3.694625764,14.37601589,28.51466756
164.5,6/17/2020 1:53,1,53,56,61.82,Quiet,Noisy,Irritated,Indoors,"fireworks,voices",11.1179339,10.68139013,6.130189117,5.418096442,3.694625764,14.37601589,28.51466756
164.6,6/18/2020 14:07,14,7,5,70.26,Quiet,Pleasant,Neutral,Outdoors,"delivery,music,neighbor,other",11.1179339,10.68139013,6.130189117,5.418096442,3.694625764,14.37601589,28.51466756
164.7,6/20/2020 1:12,1,12,9,71.65,Moderately Loud,Noisy,Neutral,Outdoors,"fireworks,music,traffic,other",11.1179339,10.68139013,6.130189117,5.418096442,3.694625764,14.37601589,28.51466756
164.8,6/21/2020 2:44,2,44,45,64.75,Loud,Noisy,Irritated,Indoors,music,11.1179339,10.68139013,6.130189117,5.418096442,3.694625764,14.37601589,28.51466756
164.9,6/23/2020 14:25,14,25,37,77.24,Loud,Noisy,Irritated,Outdoors,"construction,traffic",11.1179339,10.68139013,6.130189117,5.418096442,3.694625764,14.37601589,28.51466756
165,9/18/2019 20:07,20,7,58,67.2,Quiet,Neutral,Neutral,Indoors,"airplane,traffic,other",9.047161677,5.440749841,2.887329338,3.95780178,2.20969082,7.650440661,10.11547353
165.1,9/18/2019 20:12,20,12,5,68.78,Moderately Loud,Noisy,Irritated,Indoors,"airplane,construction,hvac",9.047161677,5.440749841,2.887329338,3.95780178,2.20969082,7.650440661,10.11547353
165.2,9/19/2019 0:46,0,46,40,68.74,Quiet,Pleasant,Relaxed,Indoors,"airplane,footsteps,neighbor",9.047161677,5.440749841,2.887329338,3.95780178,2.20969082,7.650440661,10.11547353
165.3,9/19/2019 3:09,3,9,0,63.45,Very quiet,Neutral,Neutral,Indoors,airplane,9.047161677,5.440749841,2.887329338,3.95780178,2.20969082,7.650440661,10.11547353
165.4,9/19/2019 3:11,3,11,53,74.82,Moderately Loud,Noisy,Irritated,Indoors,airplane,9.047161677,5.440749841,2.887329338,3.95780178,2.20969082,7.650440661,10.11547353
165.5,7/7/2020 13:22,13,22,59,72.64,Very Loud,Noisy,Irritated,Outdoors,"construction,traffic,voices",9.047161677,5.440749841,2.887329338,3.95780178,2.20969082,7.650440661,10.11547353
